name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
Prpf4	2.981713	2.455466	1.968369	2.298536	2.183397	3.231174	2.844246	3.415527	2.448058	2.852123	1.68043	2.060784	2.660241	2.258686	2.701489
Prpf40a	4.736769	3.308753	3.576797	4.309041	4.047605	10.94	4.626726	6.077881	4.398497	5.705118	3.394716	3.29387	3.415946	4.363303	4.060154
Prpf40b	9.284925	8.466273	10.355486	10.222203	7.162946	2.859629	7.553302	6.712286	7.604952	7.703276	8.611515	13.335775	12.918043	6.272493	7.624269
Prpf4b	12.200549	12.112984	12.154903	10.128266	9.40057	14.19634	12.258795	12.754762	9.330431	12.386944	9.491301	9.304974	12.875431	10.426552	8.14138
Prpf6	15.636621	12.77459	15.340085	14.667569	14.022903	17.679457	12.40257	16.515732	14.839348	17.508574	12.916372	10.831278	17.594262	13.407931	11.169822
Prpf8	16.913086	13.882325	13.886545	14.774998	14.905898	21.540893	15.808057	20.215093	13.112332	18.725943	15.893991	12.568752	19.75194	11.604167	13.299782
Prph	47.022014	48.304588	49.452702	95.889656	26.51003	5.468363	32.602952	23.312551	14.583209	21.516609	33.895457	52.25133	98.977578	43.607151	54.568659
Prps1	7.784987	4.914458	6.550858	10.552752	4.736093	7.098743	4.348205	7.492132	5.589272	5.784185	5.110895	3.02877	7.393501	7.964767	6.762914
Prps1l3	5.185497	3.617545	3.622685	5.398942	3.670604	8.492963	4.02927	6.901891	4.57208	5.890082	4.142915	2.746998	4.25565	3.907494	4.199667
Prps2	5.444397	4.071231	4.621462	6.044851	3.227489	5.524017	4.825662	6.029465	3.805378	5.714467	3.522491	4.114771	6.190656	5.106121	4.470671
Prpsap1	139.330723	112.438588	142.89096	57.972165	195.827282	126.389749	128.033714	144.903053	142.19549	144.971935	154.196212	159.255775	77.059612	110.416711	175.752544
Prpsap2	9.031342	8.283742	8.579878	7.919762	9.839214	10.051782	9.351624	11.010908	9.695055	11.87984	11.218813	7.64963	8.658046	10.050867	7.974919
Prr11	0.691679	0.705522	0.342976	0.125339	0.302203	1.134102	1.04274	0.631925	0.966438	1.146246	0.548291	0.436942	0.268057	0.333216	0.560197
Prr12	3.677102	3.368025	2.909809	3.419592	2.34591	1.738404	3.018629	3.115624	1.790189	2.564719	2.663878	3.673685	5.142076	2.530734	3.25041
Prr13	191.451049	204.917029	138.658358	71.53624	141.412321	133.789172	175.446364	133.336926	193.98657	156.598905	215.512859	121.855324	55.688756	122.213062	145.690287
Prr14	26.639196	28.756415	24.678811	21.075084	23.844868	17.447283	23.853022	22.956405	16.512383	20.280586	29.827323	41.237408	27.015058	24.393871	25.001872
Prr14l	2.392231	1.949956	1.619786	2.013229	1.638623	2.799267	1.293459	2.080695	1.83696	2.352154	1.63029	1.581063	1.673156	1.475031	1.570324
Prr15	18.908729	18.441806	12.139546	11.777645	11.616282	11.045455	6.360872	7.434787	9.83395	12.534298	21.22552	5.960504	4.937066	18.727705	8.622241
Prr15l	240.544678	211.42502	163.493359	52.448868	153.670442	167.866098	101.974731	137.449602	179.69655	160.885098	241.064456	71.835785	42.751452	162.737553	175.042647
Prr16	0.728849	0.676583	0.520215	1.053635	0.088836	0.210283	0.285851	0.400734	0.339373	0.410243	0.295174	0.540543	0.84903	0.391587	0.335385
Prr18	0.227119	0.279344	0.180674	0.123491	0.117806	0.051437	0.166121	0.05315	0.108505	0.265382	0.150483	0.162601	0.128573	0.188523	0.077846
Prr22	0.642661	0.685254	0.689232	0.588075	0.563674	0.291152	0.653205	0.614679	0.769295	1.07147	0.921145	1.801942	1.038084	0.556955	0.624285
Prr3	3.710264	3.678203	4.482462	5.369917	4.866497	2.246156	5.815773	3.706189	2.305214	3.336667	3.89276	8.98031	6.869719	3.481838	5.118199
Prr33	1.478358	1.752373	2.287669	3.087588	0.649436	1.06568	1.382095	1.003458	0.518311	1.122698	1.153965	3.402683	6.607935	1.591955	1.341084
